Client ID,Date,Source,Medium,Session Duration Bucket,Users,Revenue
1000096651.1676159164,20230211,ig,perfil,0,1,0.0
1000096651.1676159164,20230212,FBADS,REELS,0,1,0.0
1000096651.1676159164,20230309,FBADS,Feed,0,1,0.0
1000111788.1675394699,20230203,FBADS,REELS,0,1,0.0
1000211561.1675267052,20230201,insta,story,49,1,0.0
100033743.1675971210,20230209,insta,story,0,1,0.0
1000387438.1679699093,20230324,l.instagram.com,referral,70,1,0.0
1000387438.1679699093,20230325,FBADS,REELS,0,1,0.0
1000387438.1679699093,20230328,l.instagram.com,referral,0,1,0.0
1000387438.1679699093,20230328,l.instagram.com,referral,419,1,0.0
1000387438.1679699093,20230329,l.instagram.com,referral,384,1,0.0
100061944.1678224712,20230307,google,organic,0,1,0.0
1000695060.1679013772,20230316,l.instagram.com,referral,0,1,0.0
1000779976.1679054554,20230317,l.wl.co,referral,5,1,0.0
1000920664.1680052999,20230328,l.instagram.com,referral,0,1,0.0
1000920664.1680052999,20230329,l.instagram.com,referral,0,1,0.0
1000920664.1680052999,20230329,l.instagram.com,referral,15,1,0.0
1001025742.1676284907,20230213,FBADS,REELS,15,1,0.0
1001280306.1674348666,20230121,Instagram_Stories,[RMKT] Certeiro,0,1,0.0
1001280306.1674348666,20230228,ig,perfil,105,1,0.0
1001335682.1679353903,20230320,l.instagram.com,referral,129,1,0.0
100136634.1679810894,20230326,Others,00 H-M | 18-55 | NORDESTE | INTERESSES,0,1,0.0
1001377856.1675825702,20230208,ig,perfil,0,1,0.0
1001388412.1679596530,20230323,FBADS,Story,0,1,0.0
1001442484.1680090838,20230329,Instagram_Feed,01 H-M | 18 - 55 | NORDESTE | LAL 1% LISTA | IG E FB,60,1,0.0
1001735641.1673471205,20230111,insta,story,0,1,0.0
1001793056.1679417015,20230321,google,organic,0,1,0.0
10018459.1676688907,20230217,ig,perfil,0,1,0.0
1002038292.1680036481,20230328,Instagram_Explore,01 H-M | 18 - 55 | SUL/SULDESTE | LAL 1% LISTA | IG E FB,0,1,0.0
1002172929.1674945753,20230128,ig,perfil,0,1,0.0
1002180216.1676313403,20230213,ig,perfil,749,1,0.0
1002292520.1674871757,20230127,google,organic,0,1,0.0
1002340865.1674871681,20230127,ig,perfil,104,1,0.0
1002521198.1676037215,20230210,ig,perfil,0,1,0.0
1002551983.1677631845,20230228,ig,perfil,0,1,0.0
1002625676.1675419578,20230203,FBADS,Feed_Story,0,1,0.0
1002702875.1672890198,20230105,ig,perfil,431,1,0.0
100272845.1674243217,20230120,ig,perfil,0,1,0.0
10027605.1680217942,20230330,google,organic,0,1,0.0
1002783851.1675506298,20230204,ig,perfil,0,1,0.0
1002783851.1675506298,20230205,FBADS,Feed,94,1,0.0
1002809842.1671600489,20230101,google,cpc,0,1,0.0
1002809842.1671600489,20230129,google,cpc,0,1,0.0
1002809842.1671600489,20230130,google,cpc,0,1,0.0
1002809842.1671600489,20230131,google,cpc,0,1,0.0
1002809842.1671600489,20230201,google,cpc,0,1,0.0
1002809842.1671600489,20230203,google,cpc,0,1,0.0
1002809842.1671600489,20230205,google,cpc,0,1,0.0
100287693.1679933582,20230327,Instagram_Reels,01 H-M | 18 - 55 | NORDESTE | LAL 1% LISTA | IG E FB,222,1,0.0
100287693.1679933582,20230327,l.instagram.com,referral,6,1,0.0
1002954832.1678119409,20230306,(direct),(none),3,1,0.0
1002985875.1680092548,20230329,Instagram_Explore,00 H-M | 18-55 | NORDESTE | INTERESSES,0,1,0.0
1003099506.1671657390,20230102,FBADS,Story,0,1,0.0
1003182383.1679873633,20230326,Facebook_Mobile_Feed,00 H-M | 18-55 | NORDESTE | INTERESSES,0,1,0.0
1003314350.1680073963,20230329,facebook.com,referral,0,1,0.0
1003392432.1680139140,20230329,Instagram_Reels,01 H-M | 18 - 55 | NORDESTE | LAL 1% LISTA | IG E FB,35,1,0.0
1003394401.1678874895,20230315,(direct),(none),0,1,0.0
1003398226.1675172863,20230131,l.instagram.com,referral,153,1,0.0
1003436891.1675565745,20230204,ig,perfil,50,1,0.0
1003507950.1675820686,20230207,ig,perfil,76,1,0.0
1003524716.1676736494,20230218,ig,perfil,0,1,0.0
1003524716.1676736494,20230218,ig,perfil,1673,1,0.0
1003524716.1676736494,20230218,ig,perfil,78,1,0.0
1003524716.1676736494,20230219,ig,perfil,0,1,0.0
1003524716.1676736494,20230221,ig,perfil,0,1,0.0
1003524716.1676736494,20230222,ig,perfil,178,1,0.0
1003583922.1678143374,20230306,FBADS,Feed,0,1,0.0
1003677022.1674697369,20230125,(direct),(none),0,1,0.0
1003677022.1674697369,20230126,(direct),(none),0,1,0.0
1003828073.1673395524,20230110,ig,perfil,1144,1,0.0
1003828073.1673395524,20230111,ig,perfil,26,1,0.0
1003866593.1668664196,20230126,google,cpc,0,1,0.0
1003866593.1668664196,20230126,google,cpc,61,1,0.0
1003866593.1668664196,20230127,google,cpc,0,1,0.0
1003866593.1668664196,20230212,google,cpc,877,1,0.0
1003983037.1679889143,20230327,google,organic,88,1,0.0
